"cbsa_code","state_code","county_code","site_number","date_local","parameter_code","units_of_measure","sample_duration","aqi","arithmetic_mean","marathon"
"14460","25","017","1801","1998-04-20","44201","Parts per million","1 HOUR",NA,0.038417,"Boston"
"14460","25","017","1801","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",38,0.033833,"Boston"
"14460","25","017","1801","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",38,0.033833,"Boston"
"14460","25","017","1801","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",38,0.031294,"Boston"
"14460","25","009","0005","1998-04-20","44201","Parts per million","1 HOUR",NA,0.0305,"Boston"
"14460","25","025","1003","1998-04-20","44201","Parts per million","1 HOUR",NA,0.035609,"Boston"
"14460","25","009","2006","1998-04-20","44201","Parts per million","1 HOUR",NA,0.046125,"Boston"
"14460","25","009","4004","1998-04-20","44201","Parts per million","1 HOUR",NA,0.041565,"Boston"
"14460","25","017","1102","1998-04-20","44201","Parts per million","1 HOUR",NA,0.043208,"Boston"
"14460","25","017","4003","1998-04-20","44201","Parts per million","1 HOUR",NA,0.03825,"Boston"
"14460","25","009","0005","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",31,0.025583,"Boston"
"14460","25","025","1003","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",39,0.029333,"Boston"
"14460","25","009","2006","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",49,0.040917,"Boston"
"14460","25","009","4004","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.036208,"Boston"
"14460","25","017","1102","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.038833,"Boston"
"14460","25","017","4003","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",42,0.03175,"Boston"
"14460","25","009","0005","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",31,0.025583,"Boston"
"14460","25","025","1003","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",39,0.029333,"Boston"
"14460","25","009","2006","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",49,0.040917,"Boston"
"14460","25","009","4004","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.036208,"Boston"
"14460","25","017","1102","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.038833,"Boston"
"14460","25","017","4003","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",42,0.03175,"Boston"
"14460","25","009","0005","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",31,0.022294,"Boston"
"14460","25","025","1003","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",35,0.026059,"Boston"
"14460","25","009","2006","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",44,0.037176,"Boston"
"14460","25","009","4004","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",41,0.033647,"Boston"
"14460","25","017","1102","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.036294,"Boston"
"14460","25","017","4003","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",39,0.026941,"Boston"
"14460","33","017","3002","1998-04-20","44201","Parts per million","1 HOUR",NA,0.0455,"Boston"
"14460","33","015","0013","1998-04-20","44201","Parts per million","1 HOUR",NA,0.040391,"Boston"
"14460","33","015","0009","1998-04-20","44201","Parts per million","1 HOUR",NA,0.036174,"Boston"
"14460","33","015","0012","1998-04-20","44201","Parts per million","1 HOUR",NA,0.040565,"Boston"
"14460","33","017","3002","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",46,0.041417,"Boston"
"14460","33","015","0013","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.034,"Boston"
"14460","33","015","0009","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.029208,"Boston"
"14460","33","015","0012","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",39,0.037583,"Boston"
"14460","33","017","3002","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",46,0.041417,"Boston"
"14460","33","015","0013","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.034,"Boston"
"14460","33","015","0009","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",43,0.029208,"Boston"
"14460","33","015","0012","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",39,0.037583,"Boston"
"14460","33","017","3002","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",42,0.038412,"Boston"
"14460","33","015","0013","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",39,0.029824,"Boston"
"14460","33","015","0009","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",34,0.024941,"Boston"
"14460","33","015","0012","1998-04-20","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",38,0.036059,"Boston"
"14460","25","025","0042","1999-04-19","44201","Parts per million","1 HOUR",NA,0.043542,"Boston"
"14460","25","025","0042","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",48,0.042708,"Boston"
"14460","25","025","0042","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",48,0.042708,"Boston"
"14460","25","025","0042","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",48,0.044706,"Boston"
"14460","25","025","0041","1999-04-19","44201","Parts per million","1 HOUR",NA,0.032417,"Boston"
"14460","25","009","0005","1999-04-19","44201","Parts per million","1 HOUR",NA,0.034348,"Boston"
"14460","25","025","1003","1999-04-19","44201","Parts per million","1 HOUR",NA,0.026,"Boston"
"14460","25","009","2006","1999-04-19","44201","Parts per million","1 HOUR",NA,0.034864,"Boston"
"14460","25","009","4004","1999-04-19","44201","Parts per million","1 HOUR",NA,0.032667,"Boston"
"14460","25","017","1102","1999-04-19","44201","Parts per million","1 HOUR",NA,0.041667,"Boston"
"14460","25","017","4003","1999-04-19","44201","Parts per million","1 HOUR",NA,0.030167,"Boston"
"14460","25","025","0041","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",38,0.031875,"Boston"
"14460","25","009","0005","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",42,0.035292,"Boston"
"14460","25","025","1003","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",33,0.026417,"Boston"
"14460","25","009","2006","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",36,0.034417,"Boston"
"14460","25","009","4004","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",36,0.032958,"Boston"
"14460","25","017","1102","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",46,0.041417,"Boston"
"14460","25","017","4003","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",40,0.030208,"Boston"
"14460","25","025","0041","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",38,0.031875,"Boston"
"14460","25","009","0005","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",42,0.035292,"Boston"
"14460","25","025","1003","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",33,0.026417,"Boston"
"14460","25","009","2006","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",36,0.034417,"Boston"
"14460","25","009","4004","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",36,0.032958,"Boston"
"14460","25","017","1102","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",46,0.041417,"Boston"
"14460","25","017","4003","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",40,0.030208,"Boston"
"14460","25","025","0041","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",38,0.035118,"Boston"
"14460","25","009","0005","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",42,0.038,"Boston"
"14460","25","025","1003","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",33,0.029412,"Boston"
"14460","25","009","2006","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",36,0.035529,"Boston"
"14460","25","009","4004","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",36,0.035471,"Boston"
"14460","25","017","1102","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",46,0.043706,"Boston"
"14460","25","017","4003","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",40,0.031647,"Boston"
"14460","25","025","0042","1999-04-19","88502","Micrograms/cubic meter (LC)","24-HR BLK AVG",47,8.5,"Boston"
"14460","25","025","0042","1999-04-19","88502","Micrograms/cubic meter (LC)","1 HOUR",NA,8.595833,"Boston"
"14460","33","017","3002","1999-04-19","44201","Parts per million","1 HOUR",NA,0.036542,"Boston"
"14460","33","015","0013","1999-04-19","44201","Parts per million","1 HOUR",NA,0.027545,"Boston"
"14460","33","015","0009","1999-04-19","44201","Parts per million","1 HOUR",NA,0.024042,"Boston"
"14460","33","015","0012","1999-04-19","44201","Parts per million","1 HOUR",NA,0.032208,"Boston"
"14460","33","017","3002","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",38,0.035292,"Boston"
"14460","33","015","0013","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",33,0.028167,"Boston"
"14460","33","015","0009","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",34,0.023625,"Boston"
"14460","33","015","0012","1999-04-19","44201","Parts per million","8-HR RUN AVG BEGIN HOUR",34,0.031667,"Boston"
