"Race (0=Boston, 1=Chicago, 2=NYC, 3=TC, 4=D)",Year,"Sex (0=F, 1=M)",Flag,Age (yr),%CR,"Td, C","Tw, C",%rh,"Tg, C",SR W/m2,DP,Wind,WBGT
0,2016,1,Green,18,35.72202655,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,19,39.25765375,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,20,15.70035221,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,21,7.897588729,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,22,24.66811162,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,23,10.33595232,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,24,21.22730967,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,25,23.54375508,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,26,8.534272555,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,27,12.23245733,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,28,15.10430778,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,29,11.12164725,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,30,17.66458954,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,31,8.940666486,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,32,18.27418044,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,33,8.981305879,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,34,17.77296126,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,35,27.21484692,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,36,30.46599837,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,37,25.3996207,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,38,20.6448117,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,39,24.39718234,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,40,17.78650772,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,41,25.57572474,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,42,23.25927933,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,43,26.82199946,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,44,25.19642373,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,45,33.74424275,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,46,30.77756705,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,47,36.41289623,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,48,20.03522081,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,49,32.83662964,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,50,29.88350041,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,51,35.32917908,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,52,34.89569222,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,53,22.69032782,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,54,45.12327283,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,55,36.41289623,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,56,34.50284476,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,57,44.47304254,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,58,42.57653752,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,59,46.96559198,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,60,34.74668112,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,61,49.93226768,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,62,59.82118667,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,63,58.6697372,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,64,61.74478461,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,65,65.42942292,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,66,57.20671905,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,67,64.87401788,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,68,54.37550799,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,69,67.69168247,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,70,72.75806015,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,71,85.18016798,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,72,85.38336494,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,73,98.80791114,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,74,111.202926,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,75,98.33378488,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,76,78.77269033,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,77,107.1796261,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,78,94.35112436,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,79,99.14657274,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,80,121.0647521,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,81,199.241398,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
0,2016,1,Green,83,137.076673,13.82857143,8.228571429,45.57142857,27.97142857,765.5857143,2.228571429,12.71428571,12.73714286
